celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,avg_judge_score
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,8,8,8.5,N/A,8,8,8,N/A,9,10,9,N/A,9,8,9,N/A,10,9,10,N/A,8,10,8,N/A,10,10,10,N/A,9.5,8.5,9.5,N/A,8,8.5,8,N/A,10,10,10,N/A,N/A,N/A,N/A,N/A,8.9833
Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,8,2nd Place,2,8,8,8,N/A,9,9,9,N/A,9,9,9,N/A,10,10,10,N/A,10,9,10,N/A,9,8,9,N/A,9,9,9,N/A,9,9,9.5,N/A,9.5,9,9.5,N/A,10,10,10,N/A,9.5,10,9.5,N/A,9.2273
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,Eliminated Week 3,12,6,6,6,N/A,7,7,7,N/A,5,6,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,6.1111
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,Eliminated Week 5,9,6,7,6,N/A,6,5,6,N/A,8,8,8,N/A,8,7,7,N/A,7,8,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,6.9333
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,6,5,5,N/A,7,6,7,N/A,7,6,7,N/A,7,5,7,N/A,6,7,7,N/A,7,7,8,N/A,7,7,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,6.5714
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,5,4,5,N/A,7,6,7,N/A,8,8,7,N/A,9,8,8,N/A,7,7,7,N/A,6,6,6,N/A,8,8,8,N/A,9,8,9,N/A,7.5,8,7.5,N/A,8,8,8,N/A,0,0,0,N/A,7.2667
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,8,8,7,N/A,8,8,8,N/A,9,9,9,N/A,8,8,9,N/A,9,8,9,N/A,8,9,9,N/A,9,9,10,N/A,9,8,9,N/A,9.5,9,9.5,N/A,9.5,9,9.5,N/A,10,10,10,N/A,8.8182
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,Eliminated Week 4,10,5,4,4,N/A,6,5,6,N/A,4,3,3,N/A,4,4,4,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,4.3333
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,Eliminated Week 2,13,6,6,5,N/A,6,6,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,5.8333
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,6,7,7,N/A,6,7,7,N/A,8,7,8,N/A,8,7,7,N/A,7,8,8,N/A,8,7,8,N/A,9,9,9,N/A,8.5,8.5,8.5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,7.6458
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,7,7,7,N/A,8,7,8,N/A,8,8,9,N/A,9,8,10,N/A,9,8,9,N/A,10,8,10,N/A,9,8,9,N/A,9,9,10,N/A,8.5,9,8.5,N/A,0,0,0,N/A,0,0,0,N/A,8.5185
Steve-O,Lacey Schwimmer,TV Personality,,England,34,8,Eliminated Week 6,8,6,5,6,N/A,5,4,5,N/A,5,5,5,N/A,5,5,5,N/A,6,6,6,N/A,7,4,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,5.2778
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,Eliminated Week 4,11,6,6,6,N/A,6,6,6,N/A,5,6,6,N/A,5,6,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,5.7500
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,8,7,8,N/A,9,8,9,N/A,9,9,9,N/A,10,9,10,N/A,8,8,9,N/A,9,9,9,N/A,10,9,10,N/A,7.5,7.5,8,N/A,9.5,9.5,9.5,N/A,9,9.5,9,N/A,9.5,9.5,9.5,N/A,8.8939
Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,9,Eliminated Week 1,16,6.3333,7.3333,5.3333,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.3333
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,Eliminated Week 3,12,8,7,7,N/A,7,7,7,N/A,6,5,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.6667
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,Eliminated Week 6,9,8,8,8,N/A,7,6,6,N/A,6,6,7,N/A,9,9,10,N/A,8,8,7,N/A,8.3333,8.3333,7.3333,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.6111
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,9.6666,9.6666,9.6666,N/A,7,7,7,N/A,6,6,6,N/A,8,7,7,N/A,9,9,8,N/A,11,11,10,N/A,7,7.5,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.0714
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,Eliminated Week 4,11,8,7,7,N/A,6,7,6,N/A,6,5,6,N/A,6,5,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.2500
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,Eliminated Week 5,10,9.6666,8.6666,8.6666,N/A,7,7,7,N/A,9,8,9,N/A,8,8,8,N/A,7,8,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.0000
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,Eliminated Week 6,8,8.6666,9.6666,8.6666,N/A,6,7,6,N/A,8,5,7,N/A,5,5,6,N/A,7,8,7,N/A,8,8,8,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.1111
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,7,6,6,N/A,7,7,6,N/A,5,4,5,N/A,5,6,5,N/A,7,7,7,N/A,6.6666,8.6666,6.6666,N/A,8,8,7.5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.4524
Joanna Krupa,Derek Hough,Model,,Poland,30,9,Eliminated Week 9,4,11.3333,11.3333,11.3333,N/A,6,7,7,N/A,7,8,8,N/A,9,8,9,N/A,8,8,8,N/A,11.3333,12.3333,12.3333,N/A,9,9,9.5,N/A,8.5,8.5,9,N/A,9,9,9,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,9.0185
Kathy Ireland,Tony Dovolani,Model,California,United States,46,9,Eliminated Week 2,14,7.3333,6.3333,6.3333,N/A,6,6,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.3333
Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,Withdrew,13,7.3333,6.3333,6.3333,N/A,6,6,6,N/A,6,4,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.8889
Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,9,Eliminated Week 1,15,7.3333,5.3333,6.3333,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.3333
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,10.3333,11.3333,10.3333,N/A,9,9,9,N/A,8,6,7,N/A,6,6,6,N/A,8,8,8,N/A,10.6666,11.6666,10.6666,N/A,8.5,9,9,N/A,8,8.5,8.5,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.6042
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,11.3333,8.3333,11.3333,N/A,9,9,9,N/A,10,7,10,N/A,10,8,10,N/A,9,9,9,N/A,11,10,12,N/A,8.5,7.5,8.5,N/A,9.5,10,10,N/A,9.3333,9.6666,10,N/A,9.4444,9.4444,9.4444,N/A,N/A,N/A,N/A,N/A,9.4778
Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1st Place,1,10.3333,9.3333,10.3333,N/A,8,9,8,N/A,7,7,7,N/A,8,8,8,N/A,10,9,10,N/A,10.3333,10.3333,10.3333,N/A,8.5,8.5,9,N/A,8.5,8,8.5,N/A,8,8.3333,8.3333,N/A,9.6666,9.6666,9.6666,N/A,N/A,N/A,N/A,N/A,8.8222
Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3rd Place,3,9.6666,10.6666,10.6666,N/A,6,7,6,N/A,7,6,7,N/A,8,7,8,N/A,8,8,8,N/A,8.6666,7.6666,8.6666,N/A,8.5,8.5,9,N/A,8,8.5,9,N/A,8.6666,8.6666,8.6666,N/A,8.5,8.5,8.2222,N/A,N/A,N/A,N/A,N/A,8.1574
Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,Eliminated Week 4,9,5,5,5,N/A,7,6,6,N/A,7,6,7,N/A,5.5,5.5,5.5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.8750
Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,Eliminated Week 2,11,6,6,6,N/A,7,6,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.3333
Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,7,5,6,N/A,7,7,7,N/A,7,7,7,N/A,6,6,6,N/A,6,6,6,N/A,8.6666,8.6666,8.6666,N/A,8.5,8,8,N/A,7,7,7.5,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.0000
Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,Eliminated Week 3,10,5,4,5,N/A,4,4,4,N/A,5,4,4,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,4.3333
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,6,6,6,N/A,6,5,5,N/A,7,6,7,N/A,7.5,6.5,8,N/A,6,6,6,N/A,10.3333,10.3333,10.3333,N/A,8.5,9,8.5,N/A,7.5,7.5,7.5,N/A,8.5,8.5,9,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.3889
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,8,7,8,N/A,8,8,8,N/A,9,8,9,N/A,9,8,9,N/A,9,9,9,N/A,9,9,9,N/A,9,9,9,N/A,9,8.5,9,N/A,10,9.5,10,N/A,9.3333,8.7777,8.7777,N/A,N/A,N/A,N/A,N/A,8.7630
Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,7,6,8,N/A,7,7,8,N/A,7,7,7,N/A,7.5,7.5,8.5,N/A,7,6,8,N/A,9.6666,9.6666,10.6666,N/A,8.5,8.5,8.5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.8095
Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,9,7,9,N/A,10,8,10,N/A,8,6,9,N/A,8.5,8,8.5,N/A,10,9,10,N/A,12.3333,10.3333,13.3333,N/A,9,9,9,N/A,10,9.5,10,N/A,10,9.5,10,N/A,9.5,9.5,9.7777,N/A,N/A,N/A,N/A,N/A,9.3593
Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,7,7,7,N/A,8,7,8,N/A,8,7,8,N/A,6.5,6.5,6.5,N/A,7,7,8,N/A,12,10,12,N/A,8.5,8.5,8.5,N/A,8.5,9,9,N/A,9.5,9,9.5,N/A,9.2222,8.8888,8.8888,N/A,N/A,N/A,N/A,N/A,8.3167
Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,6,5,5,N/A,5,5,5,N/A,5,5,5,N/A,5,5.5,5.5,N/A,5,5,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.1333
Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,7,6,7,N/A,6,7,7,N/A,7,7,7,N/A,6.5,6.5,6,N/A,8,7,8,N/A,8.3333,8.3333,8.3333,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.1111
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,Eliminated Week 1,12,5,5,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.0000
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,6,6,6,N/A,7,6,6,N/A,7,6,7,N/A,6,6,5.5,N/A,7,7,7,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.3667
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,8,7,8,N/A,8,7,7,N/A,8,7,8,N/A,7,6.5,6.5,N/A,8,5,7,N/A,10.3333,9.3333,10.3333,N/A,9,8.5,8,8,9.5,9,9.5,N/A,10,9,10,N/A,9.3333,8.6666,9.3333,N/A,N/A,N/A,N/A,N/A,8.2527
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,8,8,8,N/A,8,8,8,N/A,8,8,8,N/A,9.5,9,9.5,N/A,8,8,9,N/A,9,10,10,N/A,9.5,9,9,9,9.5,9.5,9.5,N/A,10,10,10,N/A,10,10,10,N/A,N/A,N/A,N/A,N/A,9.0000
Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,8,7,7,N/A,7,7,7,N/A,8,8,8,N/A,6,7,6.5,N/A,8,8,8,N/A,10,10,10,N/A,9,8.5,8.5,8.5,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.9545
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,7,5,7,N/A,7,7,7,N/A,8,8,7,N/A,6,5.5,5.5,N/A,8,8,8,N/A,7.3333,7.3333,7.3333,N/A,9.5,8.5,8.5,8.5,8,8,8,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.4000
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,Eliminated Week 3,10,5,5,5,N/A,6,6,6,N/A,6,6,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.6667
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,Eliminated Week 2,11,6,5,5,N/A,4,5,3,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,4.6667
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,7,8,8,N/A,7,7,7,N/A,8,8,8,N/A,8,8,8,N/A,9,9,9,N/A,11.3333,12.3333,12.3333,N/A,9,9,9.5,9,9,9.5,10,N/A,9.5,9.5,9.5,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.8750
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,Eliminated Week 4,9,5,5,5,N/A,6,6,6,N/A,7,6,7,N/A,5,4.5,4.5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.5833
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,6,7,6,N/A,8,8,7,N/A,8,9,9,N/A,8,7.5,7.5,N/A,7,8,8,N/A,10.6666,10.6666,10.6666,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.1111
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,6,6,6,N/A,7,8,7,N/A,6,6,7,N/A,5,5.5,5.5,N/A,6,6,6,N/A,9.6666,8.6666,9.6666,N/A,8.5,8,8,8,7.5,8,8,N/A,8.5,9,9,N/A,8.3333,9,8.3333,N/A,N/A,N/A,N/A,N/A,7.3925
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,Eliminated Week 9,4,8,8,8,N/A,7,7,7,N/A,7,7,7,N/A,8,8,9,N/A,8,7,7,N/A,8,8,8,N/A,9,8.5,7.5,8,7.5,7.5,8,N/A,8,8,8,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.7500
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3rd Place,3,7,7,7,N/A,6,5,7,N/A,7,8,8,N/A,9,8,9,N/A,9,8,9,N/A,10,9,9,N/A,8,8.5,7.5,8,9,9,9.5,N/A,12,12,12.5,N/A,10,9.6666,10,N/A,N/A,N/A,N/A,N/A,8.6344
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2nd Place,2,8,7,8,N/A,7,6,7,N/A,7,7,7,N/A,7,7,8,N/A,8,7,8,N/A,8,9,9,N/A,8,7,7,8,8.5,9,9,N/A,9,9,9,N/A,9.3333,9.3333,9.3333,N/A,N/A,N/A,N/A,N/A,7.9516
Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1st Place,1,7,7,7,N/A,8,7,8,N/A,9,8,8,N/A,9,8,8,N/A,9,9,9,N/A,9,9,9,N/A,8,8,8,9,9,9,9,N/A,10,10,10,N/A,10,9.6666,10,N/A,N/A,N/A,N/A,N/A,8.6344
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,Eliminated Week 4,9,6,5,6,N/A,6,5,6,N/A,7,6,7,N/A,7,7,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.2500
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,Eliminated Week 6,7,7,6,6,N/A,8,7,8,N/A,7,7,7,N/A,8,7,8,N/A,9,8,9,N/A,7,8,7,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.4444
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,12,Eliminated Week 5,8,6,6,6,N/A,6,6,6,N/A,8,9,8,N/A,8,7,8,N/A,7,7,8,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.0667
Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,Eliminated Week 2,11,5,4,4,N/A,6,5,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.0000
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,Eliminated Week 8,5,7,6,6,N/A,7,8,8,N/A,7,6,7,N/A,7,8,8,N/A,9,8,9,N/A,10,9,9,N/A,7.5,8,7,7.5,8.5,9,8.5,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.8000
Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,12,Eliminated Week 3,10,5,4,5,N/A,6,5,6,N/A,5,5,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.1111
Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,12,Eliminated Week 7,6,6,6,6,N/A,7,6,6,N/A,8,7,8,N/A,6,6,6,N/A,8,7,7,N/A,8,8,9,N/A,7.5,7.5,7.5,8,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.0682
Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,13,Eliminated Week 2,11,5,5,5,N/A,7,7,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.0000
David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,13,Eliminated Week 7,6,6,6,6,N/A,6,6,6,N/A,8,8,8,N/A,8,7,8,N/A,8,9,8,N/A,8,7,8,N/A,8,7.5,8,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.3571
Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,13,3rd Place,3,7,6,7,N/A,8,7,8,N/A,9,9,9,N/A,10,9,10,N/A,8,8,8,N/A,10,9,10,N/A,9,8.5,9,N/A,8.5,8.5,9,N/A,10.8333,11.3333,11.3333,N/A,9.3333,9.3333,9.3333,N/A,N/A,N/A,N/A,N/A,8.8667
J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,13,1st Place,1,8,7,7,N/A,7,7,8,N/A,9,8,9,N/A,8,9,9,N/A,9,9,10,N/A,10,9,10,N/A,8.5,7.5,8,N/A,10,10,10,N/A,9.5,9,9.5,N/A,9.3333,9.1666,9.6666,N/A,N/A,N/A,N/A,N/A,8.7722
Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,13,Eliminated Week 1,12,5,4,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,4.6667
Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,13,Eliminated Week 9,4,7,7,7,N/A,6,7,6,N/A,8,8,8,N/A,8,8,8,N/A,8,8,8,N/A,7,6,7,N/A,8.5,8,8.5,N/A,8.5,9,8.5,N/A,8.1666,8.1666,8.1666,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.6852
Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,13,Eliminated Week 4,9,8,7,7,N/A,7,7,7,N/A,8,9,9,N/A,7,7,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.5000
Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,13,Eliminated Week 3,10,7,6,6,N/A,8,7,7,N/A,8,8,8,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.2222
Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,13,Eliminated Week 5,8,6,5,6,N/A,6,6,6,N/A,8,7,8,N/A,7,6,7,N/A,6,6,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.4667
Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,13,Eliminated Week 6,7,6,5,6,N/A,6,5,6,N/A,6,6,6,N/A,7,7,7,N/A,7,7,7,N/A,7,6,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.2778
Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,13,Eliminated Week 8,5,5,5,6,N/A,6,8,7,N/A,7,7,7,N/A,7,7,7,N/A,7,7,8,N/A,9,7,8,N/A,7.5,7,7.5,N/A,7.5,7,7.5,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.0417
Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,13,2nd Place,2,6,5,5,N/A,7,7,7,N/A,8,8,8,N/A,8,8,8,N/A,9,8,8,N/A,8,7,7,N/A,9,8,8.5,N/A,8.5,8.5,8.5,N/A,11.1666,10.6666,10.6666,N/A,9.4444,9.4444,9.4444,N/A,N/A,N/A,N/A,N/A,8.1278
William Levy,Cheryl Burke,Actor/Actress,,Cuba,31,14,3rd Place,3,8,8,8,N/A,9,7,9,N/A,9,9,10,N/A,7,7,8,N/A,10,9,10,N/A,12,11,13,N/A,9,8.5,9,N/A,9.5,9.5,9.5,N/A,9.5,9.5,10,N/A,10,9.6666,10,N/A,N/A,N/A,N/A,N/A,9.2556
